date,Value
2002-01-01,5.55
2002-01-02,5.35
2002-01-03,5.1
2002-01-04,4.95
2002-01-05,5.5
2002-01-06,5.95
2002-01-07,5.2
2002-01-08,4.3
2002-01-09,4.7
2002-01-10,5.55
2002-01-11,6.15
2002-01-12,7.49
2002-01-13,7.0
2002-01-14,6.1
2002-01-15,5.9
2002-01-16,5.45
2002-01-17,4.95
2002-01-18,4.6
2002-01-19,4.35
2002-01-20,4.45
2002-01-21,4.65
2002-01-22,4.83
2002-01-23,5.1
2002-01-24,6.55
2002-01-25,9.2
2002-01-26,9.0
2002-01-27,8.8
2002-01-28,9.6
2002-01-29,12.0
2002-01-30,9.6
2002-01-31,8.55
2002-02-01,8.4
2002-02-02,7.55
2002-02-03,6.4
2002-02-04,5.25
2002-02-05,5.0
2002-02-06,4.93
2002-02-07,4.86
2002-02-08,4.42
2002-02-09,4.08
2002-02-10,3.93
2002-02-11,4.25
2002-02-12,5.1
2002-02-13,5.18
2002-02-14,4.7
2002-02-15,3.8
2002-02-16,4.06
2002-02-17,4.27
2002-02-18,3.97
2002-02-19,3.62
2002-02-20,5.33
2002-02-21,27.0
2002-02-22,44.3
2002-02-23,34.8
2002-02-24,23.6
2002-02-25,26.6
2002-02-26,51.9
2002-02-27,47.7
2002-02-28,28.1
2002-03-01,17.1
2002-03-02,12.1
2002-03-03,33.2
2002-03-04,33.0
2002-03-05,17.7
2002-03-06,11.2
2002-03-07,8.27
2002-03-08,7.85
2002-03-09,46.3
2002-03-10,79.4
2002-03-11,38.3
2002-03-12,25.7
2002-03-13,26.9
2002-03-14,35.3
2002-03-15,24.6
2002-03-16,20.5
2002-03-17,13.3
2002-03-18,9.97
2002-03-19,8.46
2002-03-20,8.81
2002-03-21,9.11
2002-03-22,6.9
2002-03-23,6.4
2002-03-24,6.06
2002-03-25,5.53
2002-03-26,5.39
2002-03-27,4.81
2002-03-28,5.57
2002-03-29,10.6
2002-03-30,32.7
2002-03-31,28.7
2002-04-01,18.7
2002-04-02,13.3
2002-04-03,10.6
2002-04-04,11.9
2002-04-05,11.2
2002-04-06,11.1
2002-04-07,10.2
2002-04-08,15.2
2002-04-09,89.7
2002-04-10,53.9
2002-04-11,25.3
2002-04-12,16.9
2002-04-13,30.7
2002-04-14,21.3
2002-04-15,15.2
2002-04-16,12.2
2002-04-17,9.91
2002-04-18,8.12
2002-04-19,7.25
2002-04-20,6.02
2002-04-21,4.71
2002-04-22,4.26
2002-04-23,4.12
2002-04-24,3.98
2002-04-25,3.59
2002-04-26,3.38
2002-04-27,3.13
2002-04-28,6.22
2002-04-29,19.9
2002-04-30,13.7
2002-05-01,10.1
2002-05-02,12.0
2002-05-03,16.6
2002-05-04,11.3
2002-05-05,7.88
2002-05-06,6.04
2002-05-07,5.11
2002-05-08,4.68
2002-05-09,5.33
2002-05-10,7.96
2002-05-11,6.78
2002-05-12,6.31
2002-05-13,14.8
2002-05-14,21.4
2002-05-15,23.4
2002-05-16,24.2
2002-05-17,44.3
2002-05-18,21.8
2002-05-19,12.0
2002-05-20,8.83
2002-05-21,7.18
2002-05-22,5.99
2002-05-23,5.07
2002-05-24,4.47
2002-05-25,3.81
2002-05-26,3.54
2002-05-27,3.32
2002-05-28,2.87
2002-05-29,2.71
2002-05-30,3.21
2002-05-31,6.53
2002-06-01,5.93
2002-06-02,4.12
2002-06-03,3.13
2002-06-04,2.74
2002-06-05,2.34
2002-06-06,2.25
2002-06-07,2.12
2002-06-08,1.79
2002-06-09,1.58
2002-06-10,1.41
2002-06-11,1.38
2002-06-12,2.72
2002-06-13,2.87
2002-06-14,2.55
2002-06-15,4.46
2002-06-16,9.95
2002-06-17,8.43
2002-06-18,5.3
2002-06-19,3.56
2002-06-20,2.68
2002-06-21,2.33
2002-06-22,2.39
2002-06-23,2.77
2002-06-24,2.35
2002-06-25,2.1
2002-06-26,2.41
2002-06-27,2.27
2002-06-28,2.05
2002-06-29,1.9
2002-06-30,1.78
2002-07-01,1.67
2002-07-02,1.55
2002-07-03,1.44
2002-07-04,1.33
2002-07-05,1.25
2002-07-06,1.18
2002-07-07,1.12
2002-07-08,1.09
2002-07-09,1.11
2002-07-10,1.02
2002-07-11,0.957
2002-07-12,0.952
2002-07-13,0.932
2002-07-14,0.915
2002-07-15,0.882
2002-07-16,0.834
2002-07-17,0.799
2002-07-18,0.789
2002-07-19,0.78
2002-07-20,0.74
2002-07-21,0.719
2002-07-22,0.787
2002-07-23,0.887
2002-07-24,0.77
2002-07-25,0.782
2002-07-26,0.811
2002-07-27,0.8
2002-07-28,0.772
2002-07-29,0.931
2002-07-30,2.62
2002-07-31,2.15
2002-08-01,1.37
2002-08-02,1.11
2002-08-03,0.969
2002-08-04,0.911
2002-08-05,0.869
2002-08-06,0.802
2002-08-07,0.768
2002-08-08,0.759
2002-08-09,0.741
2002-08-10,0.726
2002-08-11,0.711
2002-08-12,0.707
2002-08-13,0.701
2002-08-14,0.829
2002-08-15,0.944
2002-08-16,0.846
2002-08-17,0.825
2002-08-18,0.773
2002-08-19,0.725
2002-08-20,0.68
2002-08-21,0.649
2002-08-22,0.818
2002-08-23,0.889
2002-08-24,0.798
2002-08-25,0.801
2002-08-26,0.753
2002-08-27,0.703
2002-08-28,0.652
2002-08-29,0.651
2002-08-30,0.834
2002-08-31,0.888
2002-09-01,0.883
2002-09-02,0.874
2002-09-03,0.868
2002-09-04,0.841
2002-09-05,1.09
2002-09-06,1.12
2002-09-07,1.12
2002-09-08,1.11
2002-09-09,1.11
2002-09-10,1.11
2002-09-11,1.1
2002-09-12,1.11
2002-09-13,1.12
2002-09-14,1.12
2002-09-15,1.24
2002-09-16,1.11
2002-09-17,1.09
2002-09-18,0.796
2002-09-19,0.73
2002-09-20,0.793
2002-09-21,0.996
2002-09-22,0.801
2002-09-23,0.79
2002-09-24,0.781
2002-09-25,0.763
2002-09-26,0.707
2002-09-27,0.721
2002-09-28,0.745
2002-09-29,0.682
2002-09-30,0.687
2002-10-01,0.661
2002-10-02,0.696
2002-10-03,0.682
2002-10-04,0.65
2002-10-05,0.733
2002-10-06,0.635
2002-10-07,0.624
2002-10-08,0.584
2002-10-09,0.57
2002-10-10,0.573
2002-10-11,0.57
2002-10-12,0.577
2002-10-13,0.598
2002-10-14,0.561
2002-10-15,0.55
2002-10-16,0.543
2002-10-17,0.548
2002-10-18,0.589
2002-10-19,0.821
2002-10-20,0.751
2002-10-21,0.692
2002-10-22,0.748
2002-10-23,0.75
2002-10-24,0.709
2002-10-25,0.698
2002-10-26,0.828
2002-10-27,0.792
2002-10-28,0.784
2002-10-29,0.77
2002-10-30,0.756
2002-10-31,0.767
2002-11-01,0.779
2002-11-02,0.786
2002-11-03,0.772
2002-11-04,0.802
2002-11-05,0.819
2002-11-06,0.88
2002-11-07,0.91
2002-11-08,0.905
2002-11-09,0.92
2002-11-10,1.06
2002-11-11,1.68
2002-11-12,1.79
2002-11-13,1.58
2002-11-14,1.32
2002-11-15,1.22
2002-11-16,1.3
2002-11-17,1.15
2002-11-18,1.09
2002-11-19,1.04
2002-11-20,1.05
2002-11-21,1.09
2002-11-22,1.15
2002-11-23,1.24
2002-11-24,1.11
2002-11-25,1.06
2002-11-26,1.04
2002-11-27,1.31
2002-11-28,1.06
2002-11-29,1.02
2002-11-30,1.04
2002-12-01,0.949
2002-12-02,1.25
2002-12-03,1.31
2002-12-04,1.39
2002-12-05,1.43
2002-12-06,1.42
2002-12-07,1.44
2002-12-08,1.47
2002-12-09,1.33
2002-12-10,1.37
2002-12-11,1.48
2002-12-12,1.58
2002-12-13,1.56
2002-12-14,1.59
2002-12-15,1.6
2002-12-16,1.71
2002-12-17,1.95
2002-12-18,2.0
2002-12-19,2.22
2002-12-20,4.19
2002-12-21,6.72
2002-12-22,6.36
2002-12-23,5.25
2002-12-24,4.66
2002-12-25,4.42
2002-12-26,4.25
2002-12-27,3.35
2002-12-28,3.09
2002-12-29,3.02
2002-12-30,2.92
2002-12-31,3.29
2003-01-01,5.32
2003-01-02,4.0
2003-01-03,3.2
2003-01-04,2.6
2003-01-05,2.1
2003-01-06,1.8
2003-01-07,1.95
2003-01-08,2.2
2003-01-09,1.94
2003-01-10,1.84
2003-01-11,1.72
2003-01-12,1.63
2003-01-13,1.6
2003-01-14,1.56
2003-01-15,1.53
2003-01-16,1.51
2003-01-17,1.5
2003-01-18,1.48
2003-01-19,1.47
2003-01-20,1.46
2003-01-21,1.45
2003-01-22,1.44
2003-01-23,1.43
2003-01-24,1.42
2003-01-25,1.42
2003-01-26,1.41
2003-01-27,1.41
2003-01-28,1.4
2003-01-29,1.39
2003-01-30,1.38
2003-01-31,1.37
2003-02-01,1.57
2003-02-02,1.71
2003-02-03,1.99
2003-02-04,2.45
2003-02-05,2.25
2003-02-06,2.12
2003-02-07,2.04
2003-02-08,1.97
2003-02-09,1.9
2003-02-10,1.85
2003-02-11,1.82
