date,Value
2002-01-01,3.657
2002-01-02,3.675
2002-01-03,3.679
2002-01-04,3.674
2002-01-05,3.658
2002-01-06,3.632
2002-01-07,3.632
2002-01-08,3.656
2002-01-09,3.645
2002-01-10,3.588
2002-01-11,3.602
2002-01-12,3.642
2002-01-13,3.693
2002-01-14,3.666
2002-01-15,3.635
2002-01-16,3.599
2002-01-17,3.579
2002-01-18,3.58
2002-01-19,3.611
2002-01-20,3.645
2002-01-21,3.626
2002-01-22,3.576
2002-01-23,3.574
2002-01-24,3.625
2002-01-25,3.707
2002-01-26,3.707
2002-01-27,3.699
2002-01-28,3.715
2002-01-29,3.766
2002-01-30,3.722
2002-01-31,3.688
2002-02-01,3.686
2002-02-02,3.648
2002-02-03,3.635
2002-02-04,3.588
2002-02-05,3.585
2002-02-06,3.577
2002-02-07,3.58
2002-02-08,3.562
2002-02-09,3.544
2002-02-10,3.54
2002-02-11,3.692
2002-02-12,3.705
2002-02-13,3.675
2002-02-14,3.617
2002-02-15,3.577
2002-02-16,3.534
2002-02-17,3.552
2002-02-18,3.554
2002-02-19,3.533
2002-02-20,3.57
2002-02-21,4.149
2002-02-22,4.245
2002-02-23,4.122
2002-02-24,3.973
2002-02-25,4.013
2002-02-26,4.338
2002-02-27,4.287
2002-02-28,4.034
2002-03-01,3.868
2002-03-02,3.767
2002-03-03,4.092
2002-03-04,4.099
2002-03-05,3.878
2002-03-06,3.744
2002-03-07,3.665
2002-03-08,3.652
2002-03-09,4.239
2002-03-10,4.619
2002-03-11,4.168
2002-03-12,4.002
2002-03-13,4.018
2002-03-14,4.129
2002-03-15,3.986
2002-03-16,3.925
2002-03-17,3.792
2002-03-18,3.713
2002-03-19,3.67
2002-03-20,3.68
2002-03-21,3.689
2002-03-22,3.624
2002-03-23,3.61
2002-03-24,3.6
2002-03-25,3.583
2002-03-26,3.579
2002-03-27,3.561
2002-03-28,3.584
2002-03-29,3.725
2002-03-30,4.104
2002-03-31,4.042
2002-04-01,3.897
2002-04-02,3.795
2002-04-03,3.731
2002-04-04,3.765
2002-04-05,3.747
2002-04-06,3.744
2002-04-07,3.72
2002-04-08,3.801
2002-04-09,4.704
2002-04-10,4.355
2002-04-11,3.994
2002-04-12,3.864
2002-04-13,4.07
2002-04-14,3.937
2002-04-15,3.834
2002-04-16,3.771
2002-04-17,3.711
2002-04-18,3.66
2002-04-19,3.635
2002-04-20,3.598
2002-04-21,3.557
2002-04-22,3.542
2002-04-23,3.536
2002-04-24,3.532
2002-04-25,3.517
2002-04-26,3.508
2002-04-27,3.498
2002-04-28,3.597
2002-04-29,3.917
2002-04-30,3.803
2002-05-01,3.717
2002-05-02,3.759
2002-05-03,3.861
2002-05-04,3.746
2002-05-05,3.653
2002-05-06,3.599
2002-05-07,3.571
2002-05-08,3.556
2002-05-09,3.576
2002-05-10,3.655
2002-05-11,3.621
2002-05-12,3.607
2002-05-13,3.823
2002-05-14,3.935
2002-05-15,3.965
2002-05-16,3.964
2002-05-17,4.244
2002-05-18,3.942
2002-05-19,3.764
2002-05-20,3.681
2002-05-21,3.633
2002-05-22,3.597
2002-05-23,3.569
2002-05-24,3.549
2002-05-25,3.525
2002-05-26,3.515
2002-05-27,3.506
2002-05-28,3.486
2002-05-29,3.479
2002-05-30,3.5
2002-05-31,3.613
2002-06-01,3.596
2002-06-02,3.536
2002-06-03,3.497
2002-06-04,3.48
2002-06-05,3.46
2002-06-06,3.455
2002-06-07,3.447
2002-06-08,3.428
2002-06-09,3.415
2002-06-10,3.404
2002-06-11,3.4
2002-06-12,3.477
2002-06-13,3.486
2002-06-14,3.471
2002-06-15,3.545
2002-06-16,3.712
2002-06-17,3.669
2002-06-18,3.576
2002-06-19,3.515
2002-06-20,3.477
2002-06-21,3.459
2002-06-22,3.462
2002-06-23,3.482
2002-06-24,3.46
2002-06-25,3.446
2002-06-26,3.463
2002-06-27,3.456
2002-06-28,3.444
2002-06-29,3.435
2002-06-30,3.427
2002-07-01,3.421
2002-07-02,3.413
2002-07-03,3.405
2002-07-04,3.397
2002-07-05,3.39
2002-07-06,3.384
2002-07-07,3.379
2002-07-08,3.376
2002-07-09,3.378
2002-07-10,3.368
2002-07-11,3.362
2002-07-12,3.361
2002-07-13,3.359
2002-07-14,3.357
2002-07-15,3.354
2002-07-16,3.349
2002-07-17,3.345
2002-07-18,3.344
2002-07-19,3.343
2002-07-20,3.339
2002-07-21,3.337
2002-07-22,3.344
2002-07-23,3.354
2002-07-24,3.342
2002-07-25,3.343
2002-07-26,3.346
2002-07-27,3.345
2002-07-28,3.342
2002-07-29,3.358
2002-07-30,3.473
2002-07-31,3.448
2002-08-01,3.4
2002-08-02,3.378
2002-08-03,3.363
2002-08-04,3.357
2002-08-05,3.352
2002-08-06,3.345
2002-08-07,3.342
2002-08-08,3.341
2002-08-09,3.339
2002-08-10,3.337
2002-08-11,3.336
2002-08-12,3.335
2002-08-13,3.335
2002-08-14,3.348
2002-08-15,3.36
2002-08-16,3.35
2002-08-17,3.348
2002-08-18,3.342
2002-08-19,3.337
2002-08-20,3.333
2002-08-21,3.329
2002-08-22,3.347
2002-08-23,3.355
2002-08-24,3.345
2002-08-25,3.345
2002-08-26,3.34
2002-08-27,3.335
2002-08-28,3.33
2002-08-29,3.33
2002-08-30,3.349
2002-08-31,3.355
2002-09-01,3.354
2002-09-02,3.353
2002-09-03,3.352
2002-09-04,3.35
2002-09-05,3.376
2002-09-06,3.379
2002-09-07,3.378
2002-09-08,3.378
2002-09-09,3.378
2002-09-10,3.378
2002-09-11,3.377
2002-09-12,3.378
2002-09-13,3.379
2002-09-14,3.379
2002-09-15,3.39
2002-09-16,3.378
2002-09-17,3.376
2002-09-18,3.345
2002-09-19,3.338
2002-09-20,3.344
2002-09-21,3.366
2002-09-22,3.345
2002-09-23,3.344
2002-09-24,3.343
2002-09-25,3.341
2002-09-26,3.335
2002-09-27,3.337
2002-09-28,3.339
2002-09-29,3.333
2002-09-30,3.333
2002-10-01,3.331
2002-10-02,3.334
2002-10-03,3.333
2002-10-04,3.329
2002-10-05,3.338
2002-10-06,3.328
2002-10-07,3.327
2002-10-08,3.323
2002-10-09,3.321
2002-10-10,3.321
2002-10-11,3.321
2002-10-12,3.322
2002-10-13,3.324
2002-10-14,3.32
2002-10-15,3.319
2002-10-16,3.318
2002-10-17,3.319
2002-10-18,3.323
2002-10-19,3.347
2002-10-20,3.34
2002-10-21,3.334
2002-10-22,3.34
2002-10-23,3.34
2002-10-24,3.336
2002-10-25,3.334
2002-10-26,3.348
2002-10-27,3.344
2002-10-28,3.344
2002-10-29,3.342
2002-10-30,3.341
2002-10-31,3.342
2002-11-01,3.343
2002-11-02,3.344
2002-11-03,3.342
2002-11-04,3.345
2002-11-05,3.347
2002-11-06,3.354
2002-11-07,3.357
2002-11-08,3.356
2002-11-09,3.358
2002-11-10,3.372
2002-11-11,3.421
2002-11-12,3.428
2002-11-13,3.415
2002-11-14,3.396
2002-11-15,3.388
2002-11-16,3.392
2002-11-17,3.382
2002-11-18,3.376
2002-11-19,3.371
2002-11-20,3.372
2002-11-21,3.376
2002-11-22,3.382
2002-11-23,3.389
2002-11-24,3.378
2002-11-25,3.373
2002-11-26,3.371
2002-11-27,3.391
2002-11-28,3.373
2002-11-29,3.368
2002-11-30,3.37
2002-12-01,3.361
2002-12-02,3.39
2002-12-03,3.395
2002-12-04,3.402
2002-12-05,3.405
2002-12-06,3.404
2002-12-07,3.406
2002-12-08,3.408
2002-12-09,3.397
2002-12-10,3.401
2002-12-11,3.409
2002-12-12,3.415
2002-12-13,3.414
2002-12-14,3.416
2002-12-15,3.416
2002-12-16,3.423
2002-12-17,3.437
2002-12-18,3.44
2002-12-19,3.453
2002-12-20,3.535
2002-12-21,3.619
2002-12-22,3.609
2002-12-23,3.575
2002-12-24,3.556
2002-12-25,3.547
2002-12-26,3.541
2002-12-27,3.507
2002-12-28,3.496
2002-12-29,3.493
2002-12-30,3.489
2002-12-31,3.504
2003-01-01,3.577
2003-01-02,3.573
2003-01-03,3.552
2003-01-04,3.535
2003-01-05,3.519
2003-01-06,3.505
2003-01-07,3.493
2003-01-08,3.501
2003-01-09,3.498
2003-01-10,3.491
2003-01-11,3.477
2003-01-12,3.485
2003-01-13,3.486
2003-01-14,3.485
2003-01-15,3.489
2003-01-16,3.491
2003-01-17,3.494
2003-01-18,3.492
2003-01-19,3.497
2003-01-20,3.491
2003-01-21,3.485
2003-01-22,3.492
2003-01-23,3.49
2003-01-24,3.488
2003-01-25,3.492
2003-01-26,3.489
2003-01-27,3.485
2003-01-28,3.486
2003-01-29,3.492
2003-01-30,3.511
2003-01-31,3.596
2003-02-01,3.59
2003-02-02,3.585
2003-02-03,3.579
2003-02-04,3.606
2003-02-05,3.58
2003-02-06,3.618
2003-02-07,3.618
2003-02-08,3.613
2003-02-09,3.615
2003-02-10,3.612
2003-02-11,3.613
2003-02-12,3.618
2003-02-13,3.62
2003-02-14,3.628
2003-02-15,3.63
2003-02-16,3.629
2003-02-17,3.639
2003-02-18,3.644
2003-02-19,3.645
2003-02-20,3.642
2003-02-21,3.642
2003-02-22,3.643
2003-02-23,3.632
2003-02-24,3.645
2003-02-25,3.67
2003-02-26,3.667
2003-02-27,3.711
2003-02-28,3.727
2003-03-01,3.727
2003-03-02,3.731
2003-03-03,3.719
2003-03-04,3.732
2003-03-05,3.749
2003-03-06,3.755
2003-03-07,3.753
2003-03-08,3.761
2003-03-09,3.754
2003-03-10,3.752
2003-03-11,3.763
2003-03-12,3.772
2003-03-13,3.74
2003-03-14,3.769
2003-03-15,3.771
2003-03-16,3.69
2003-03-17,3.729
2003-03-18,4.027
2003-03-19,4.215
2003-03-20,4.181
2003-03-21,4.415
2003-03-22,4.533
2003-03-23,4.486
2003-03-24,4.524
2003-03-25,4.615
2003-03-26,4.454
2003-03-27,4.165
2003-03-28,4.028
2003-03-29,4.265
2003-03-30,4.185
2003-03-31,3.913
2003-04-01,3.768
2003-04-02,3.734
2003-04-03,3.707
2003-04-04,3.616
2003-04-05,3.626
2003-04-06,3.603
2003-04-07,3.559
2003-04-08,3.536
2003-04-09,3.529
2003-04-10,3.698
2003-04-11,4.139
2003-04-12,4.147
2003-04-13,3.956
2003-04-14,3.842
2003-04-15,3.812
2003-04-16,3.78
2003-04-17,3.731
2003-04-18,3.681
2003-04-19,3.72
2003-04-20,3.711
2003-04-21,3.671
2003-04-22,3.649
2003-04-23,3.622
2003-04-24,3.581
2003-04-25,3.551
2003-04-26,3.529
2003-04-27,3.506
2003-04-28,3.489
2003-04-29,3.475
2003-04-30,3.461
2003-05-01,3.492
2003-05-02,3.563
2003-05-03,3.562
2003-05-04,3.518
2003-05-05,3.5
2003-05-06,3.683
2003-05-07,3.677
2003-05-08,3.617
2003-05-09,3.561
2003-05-10,3.524
2003-05-11,3.619
2003-05-12,3.756
2003-05-13,
2003-05-14,3.747
2003-05-15,3.671
2003-05-16,3.611
2003-05-17,3.604
2003-05-18,3.58
2003-05-19,3.541
2003-05-20,3.512
2003-05-21,3.506
2003-05-22,3.493
2003-05-23,3.472
2003-05-24,3.507
2003-05-25,3.553
2003-05-26,3.528
2003-05-27,3.497
2003-05-28,3.49
2003-05-29,3.565
2003-05-30,3.555
2003-05-31,3.504
2003-06-01,3.48
2003-06-02,3.457
2003-06-03,3.436
2003-06-04,3.427
2003-06-05,3.464
2003-06-06,3.531
2003-06-07,3.505
2003-06-08,3.488
2003-06-09,3.87
2003-06-10,3.839
2003-06-11,3.694
2003-06-12,3.635
2003-06-13,3.577
2003-06-14,3.547
2003-06-15,3.51
2003-06-16,3.47
2003-06-17,3.439
2003-06-18,3.422
2003-06-19,3.412
2003-06-20,3.402
2003-06-21,3.392
2003-06-22,3.379
2003-06-23,3.365
2003-06-24,3.356
2003-06-25,3.35
2003-06-26,3.346
2003-06-27,3.35
2003-06-28,3.384
2003-06-29,3.375
2003-06-30,3.365
2003-07-01,3.355
2003-07-02,3.347
2003-07-03,3.343
2003-07-04,3.339
2003-07-05,3.335
2003-07-06,3.332
2003-07-07,3.341
2003-07-08,3.346
2003-07-09,3.339
2003-07-10,3.337
2003-07-11,3.343
2003-07-12,3.346
2003-07-13,3.345
2003-07-14,3.348
2003-07-15,3.344
2003-07-16,3.348
2003-07-17,3.346
2003-07-18,3.36
2003-07-19,3.348
2003-07-20,3.341
2003-07-21,3.347
2003-07-22,3.354
2003-07-23,3.344
2003-07-24,3.339
